*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Sep  2 09:28:41 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-May-06 00:00:00.0000 TDB
Stop  time      : A.D. 2018-Nov-26 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2458252.500000000, A.D. 2018-May-14 00:00:00.0000, -3.763336565790506E+07, -2.176862798080763E+08, -3.637646297301531E+06,  2.478883222615289E+01, -2.047628306735338E+00, -6.512191376230830E-01,  7.369941418068103E+02,  2.209452853038642E+08, -2.194107438522298E+00,
2458253.500000000, A.D. 2018-May-15 00:00:00.0000, -3.548991400083873E+07, -2.178531864004183E+08, -3.693743539876685E+06,  2.482774073293710E+01, -1.815821176433491E+00, -6.473165377147575E-01,  7.363625804256683E+02,  2.207559479650337E+08, -2.188665525899020E+00,
2458254.500000000, A.D. 2018-May-16 00:00:00.0000, -3.334319510732032E+07, -2.180000317071791E+08, -3.749500586144462E+06,  2.486446013395389E+01, -1.583249998114848E+00, -6.433442087399925E-01,  7.357326184253884E+02,  2.205670901085233E+08, -2.183008244659318E+00,
2458255.500000000, A.D. 2018-May-17 00:00:00.0000, -3.119339876794154E+07, -2.181267505806544E+08, -3.804911413836703E+06,  2.489897537091616E+01, -1.349934917252571E+00, -6.393022110361348E-01,  7.351043179447440E+02,  2.203787303630683E+08, -2.177135069216362E+00,
2458256.500000000, A.D. 2018-May-18 00:00:00.0000, -2.904071606886648E+07, -2.182332796263261E+08, -3.859970005698249E+06,  2.493127153103514E+01, -1.115896359206604E+00, -6.351906094684003E-01,  7.344777412698952E+02,  2.201908874015899E+08, -2.171045516536534E+00,
2458257.500000000, A.D. 2018-May-19 00:00:00.0000, -2.688533937832803E+07, -2.183195572289083E+08, -3.914670350332648E+06,  2.496133385461862E+01, -8.811550432524413E-01, -6.310094748447499E-01,  7.338529508277525E+02,  2.200035799392051E+08, -2.164739133671960E+00,
2458258.500000000, A.D. 2018-May-20 00:00:00.0000, -2.472746233268113E+07, -2.183855235783010E+08, -3.969006443012699E+06,  2.498914774143719E+01, -6.457320003963288E-01, -6.267588853869486E-01,  7.332300091788613E+02,  2.198168267310933E+08, -2.158215481066962E+00,
2458259.500000000, A.D. 2018-May-21 00:00:00.0000, -2.256727982179994E+07, -2.184311206954581E+08, -4.022972286554575E+06,  2.501469875591726E+01, -4.096485822713166E-01, -6.224389271207467E-01,  7.326089790097652E+02,  2.196306465702080E+08, -2.151474124359308E+00,
2458260.500000000, A.D. 2018-May-22 00:00:00.0000, -2.040498797377447E+07, -2.184562924583490E+08, -4.076561892291695E+06,  2.503797264286229E+01, -1.729264545228781E-01, -6.180496982986503E-01,  7.319899231255107E+02,  2.194450582850279E+08, -2.144514642400334E+00,
2458261.500000000, A.D. 2018-May-23 00:00:00.0000, -1.824078413906316E+07, -2.184609846280425E+08, -4.129769281079397E+06,  2.505895534926518E+01,  6.441242139795741E-02, -6.135913161529279E-01,  7.313729044424881E+02,  2.192600807374126E+08, -2.137336646655232E+00,
2458262.500000000, A.D. 2018-May-24 00:00:00.0000, -1.607486687424158E+07, -2.184451448746985E+08, -4.182588484243542E+06,  2.507763303091865E+01,  3.023458007759958E-01, -6.090639166720805E-01,  7.307579859809805E+02,  2.190757328203677E+08, -2.129939793032371E+00,
2458263.500000000, A.D. 2018-May-25 00:00:00.0000, -1.390743592527865E+07, -2.184087228033103E+08, -4.235013544486597E+06,  2.509399204124521E+01,  5.408511512819145E-01, -6.044676465544555E-01,  7.301452308568823E+02,  2.188920334555622E+08, -2.122323775776895E+00,
2458264.500000000, A.D. 2018-May-26 00:00:00.0000, -1.173869221016661E+07, -2.183516699793161E+08, -4.287038516837940E+06,  2.510801892199772E+01,  7.799056449211667E-01, -5.998026559885627E-01,  7.295347022729701E+02,  2.187090015907119E+08, -2.114488318610282E+00,
2458265.500000000, A.D. 2018-May-27 00:00:00.0000, -9.568837800897906E+06, -2.182739399542891E+08, -4.338657469670191E+06,  2.511970040852626E+01,  1.019486156339080E+00, -5.950690979050881E-01,  7.289264635104965E+02,  2.185266561970590E+08, -2.106433173478089E+00,
2458266.500000000, A.D. 2018-May-28 00:00:00.0000, -7.398075904948363E+06, -2.181754882917209E+08, -4.389864485709995E+06,  2.512902344754669E+01,  1.259569258768480E+00, -5.902671335609517E-01,  7.283205779212201E+02,  2.183450162669831E+08, -2.098158117171577E+00,
2458267.500000000, A.D. 2018-May-29 00:00:00.0000, -5.226610846318335E+06, -2.180562725926818E+08, -4.440653663000971E+06,  2.513597521809207E+01,  1.500131214823298E+00, -5.853969405241631E-01,  7.277171089191959E+02,  2.181641008115394E+08, -2.089662942014185E+00,
2458268.500000000, A.D. 2018-May-30 00:00:00.0000, -3.054648045967358E+06, -2.179162525211860E+08, -4.491019115883544E+06,  2.514054314572997E+01,  1.741147978976937E+00, -5.804587171713699E-01,  7.271161199717425E+02,  2.179839288577515E+08, -2.080947457183262E+00,
2458269.500000000, A.D. 2018-May-31 00:00:00.0000, -8.823940015128709E+05, -2.177553898293146E+08, -4.540954976059854E+06,  2.514271490318207E+01,  1.982595219810756E+00, -5.754526791276865E-01,  7.265176745898317E+02,  2.178045194457298E+08, -2.072011509300291E+00,
2458270.500000000, A.D. 2018-Jun-01 00:00:00.0000,  1.289943733673966E+06, -2.175736483822747E+08, -4.590455393699408E+06,  2.514247840438393E+01,  2.224448338919556E+00, -5.703790519654139E-01,  7.259218363185631E+02,  2.176258916258157E+08, -2.062855000020817E+00,
2458271.500000000, A.D. 2018-Jun-02 00:00:00.0000,  3.462156571757530E+06, -2.173709941834164E+08, -4.639514538485721E+06,  2.513982180586593E+01,  2.466682467626238E+00, -5.652380686334475E-01,  7.253286687278325E+02,  2.174480644557846E+08, -2.053477881834130E+00,
2458272.500000000, A.D. 2018-Jun-03 00:00:00.0000,  5.634034912101859E+06, -2.171473953990427E+08, -4.688126600586608E+06,  2.513473351289452E+01,  2.709272450354003E+00, -5.600299705202519E-01,  7.247382354026399E+02,  2.172710569979401E+08, -2.043880140487456E+00,
2458273.500000000, A.D. 2018-Jun-04 00:00:00.0000,  7.805368163505374E+06, -2.169028223829199E+08, -4.736285791635007E+06,  2.512720218285894E+01,  2.952192832247030E+00, -5.547550072330130E-01,  7.241505999327646E+02,  2.170948883160182E+08, -2.034061781664616E+00,
2458274.500000000, A.D. 2018-Jun-05 00:00:00.0000,  9.975944767139209E+06, -2.166372477006395E+08, -4.783986345798001E+06,  2.511721673327302E+01,  3.195417859263299E+00, -5.494134377376914E-01,  7.235658259023700E+02,  2.169195774720715E+08, -2.024022829940590E+00,
2458275.500000000, A.D. 2018-Jun-06 00:00:00.0000,  1.214555222009372E+07, -2.163506461539814E+08, -4.831222520906776E+06,  2.510476636301004E+01,  3.438921489851594E+00, -5.440055372132064E-01,  7.229839768801004E+02,  2.167451435235004E+08, -2.013763338216652E+00,
2458276.500000000, A.D. 2018-Jun-07 00:00:00.0000,  1.431397709937224E+07, -2.160429948051718E+08, -4.877988599562332E+06,  2.508984057254485E+01,  3.682677411667183E+00, -5.385316033416707E-01,  7.224051164093290E+02,  2.165716055201289E+08, -2.003283401219930E+00,
2458277.500000000, A.D. 2018-Jun-08 00:00:00.0000,  1.648100508631703E+07, -2.157142730008004E+08, -4.924278890184507E+06,  2.507242916252793E+01,  3.926659050304697E+00, -5.329919524979315E-01,  7.218293079977706E+02,  2.163989825010907E+08, -1.992583161901177E+00,
2458278.500000000, A.D. 2018-Jun-09 00:00:00.0000,  1.864642099162438E+07, -2.153644623953878E+08, -4.970087728067711E+06,  2.505252221918469E+01,  4.170839566340724E+00, -5.273869097866639E-01,  7.212566151065035E+02,  2.162272934915387E+08, -1.981662807752501E+00,
2458279.500000000, A.D. 2018-Jun-10 00:00:00.0000,  2.081000878105238E+07, -2.149935469748352E+08, -5.015409476503506E+06,  2.503011011031417E+01,  4.415191852320871E+00, -5.217168038128512E-01,  7.206871011392536E+02,  2.160565574994315E+08, -1.970522567072453E+00,
2458280.500000000, A.D. 2018-Jun-11 00:00:00.0000,  2.297155160172813E+07, -2.146015130798850E+08, -5.060238527934045E+06,  2.500518349801594E+01,  4.659688531694337E+00, -5.159819693649126E-01,  7.201208294324102E+02,  2.158867935125410E+08, -1.959162705714877E+00,
2458281.500000000, A.D. 2018-Jun-12 00:00:00.0000,  2.513083180893896E+07, -2.141883494294495E+08, -5.104569305065930E+06,  2.497773335860437E+01,  4.904301951502851E+00, -5.101827542982653E-01,  7.195578632452903E+02,  2.157180204955334E+08, -1.947583516202103E+00,
2458282.500000000, A.D. 2018-Jun-13 00:00:00.0000,  2.728763099350059E+07, -2.137540471435688E+08, -5.148396261965543E+06,  2.494775100026233E+01,  5.149004175464151E+00, -5.043195258256190E-01,  7.189982657499307E+02,  2.155502573869090E+08, -1.935785306630988E+00,
2458283.500000000, A.D. 2018-Jun-14 00:00:00.0000,  2.944173000990720E+07, -2.132985997659476E+08, -5.191713885227278E+06,  2.491522807372378E+01,  5.393766996434279E+00, -4.983926723975671E-01,  7.184421000203865E+02,  2.153835230957935E+08, -1.923768409060289E+00,
2458284.500000000, A.D. 2018-Jun-15 00:00:00.0000,  3.159290900526694E+07, -2.128220032861991E+08, -5.234516695230439E+06,  2.488015657354802E+01,  5.638561964778733E+00, -4.924025995172165E-01,  7.178894290220624E+02,  2.152178364987406E+08, -1.911533204670699E+00,
2458285.500000000, A.D. 2018-Jun-16 00:00:00.0000,  3.374094744879413E+07, -2.123242561618720E+08, -5.276799247386485E+06,  2.484252883619541E+01,  5.883360402934012E+00, -4.863497242421295E-01,  7.173403156013043E+02,  2.150532164366108E+08, -1.899080135774148E+00,
2458286.500000000, A.D. 2018-Jun-17 00:00:00.0000,  3.588562416171458E+07, -2.118053593401437E+08, -5.318556133299574E+06,  2.480233754297171E+01,  6.128133396119410E+00, -4.802344736796291E-01,  7.167948224748164E+02,  2.148896817113989E+08, -1.886409693646202E+00,
2458287.500000000, A.D. 2018-Jun-18 00:00:00.0000,  3.802671734771058E+07, -2.112653162790145E+08, -5.359781981890216E+06,  2.475957572376694E+01,  6.372851777869293E+00, -4.740572847193754E-01,  7.162530122184564E+02,  2.147272510828751E+08, -1.873522401242044E+00,
2458288.500000000, A.D. 2018-Jun-19 00:00:00.0000,  4.016400462409932E+07, -2.107041329680414E+08, -5.400471460581735E+06,  2.471423676103212E+01,  6.617486126673375E+00, -4.678186033021547E-01,  7.157149472557136E+02,  2.145659432651307E+08, -1.860418806951391E+00,
2458289.500000000, A.D. 2018-Jun-20 00:00:00.0000,  4.229726305373755E+07, -2.101218179487925E+08, -5.440619276568502E+06,  2.466631440413601E+01,  6.862006774040238E+00, -4.615188879230798E-01,  7.151806898465504E+02,  2.144057769232330E+08, -1.847099487454524E+00,
2458290.500000000, A.D. 2018-Jun-21 00:00:00.0000,  4.442626917747080E+07, -2.095183823350221E+08, -5.480220178091630E+06,  2.461580279456296E+01,  7.106383818712223E+00, -4.551586182879999E-01,  7.146503020765705E+02,  2.142467706699775E+08, -1.833565053535920E+00,
2458291.500000000, A.D. 2018-Jun-22 00:00:00.0000,  4.655079904703384E+07, -2.088938398323364E+08, -5.519268955660492E+06,  2.456269648052818E+01,  7.350587142992792E+00, -4.487382990659849E-01,  7.141238458457284E+02,  2.140889430625040E+08, -1.819816158962579E+00,
2458292.500000000, A.D. 2018-Jun-23 00:00:00.0000,  4.867062825848073E+07, -2.082482067571752E+08, -5.557760443246156E+06,  2.450699040739607E+01,  7.594586422831385E+00, -4.422584520653143E-01,  7.136013828561101E+02,  2.139323125986323E+08, -1.805853508248330E+00,
2458293.500000000, A.D. 2018-Jun-24 00:00:00.0000,  5.078553198625822E+07, -2.075815020552534E+08, -5.595689519511342E+06,  2.444867990353392E+01,  7.838351130435638E+00, -4.357196061379329E-01,  7.130829745994121E+02,  2.137768977131093E+08, -1.791677858989781E+00,
2458294.500000000, A.D. 2018-Jun-25 00:00:00.0000,  5.289528501787616E+07, -2.068937473196976E+08, -5.633051109079823E+06,  2.438776068313333E+01,  8.081850535874734E+00, -4.291222952167444E-01,  7.125686823449205E+02,  2.136227167740049E+08, -1.777290019878341E+00,
2458295.500000000, A.D. 2018-Jun-26 00:00:00.0000,  5.499966178901576E+07, -2.061849668088627E+08, -5.669840183775172E+06,  2.432422886257220E+01,  8.325053705334900E+00, -4.224670634262493E-01,  7.120585671278661E+02,  2.134697880792210E+08, -1.762690841873193E+00,
2458296.500000000, A.D. 2018-Jun-27 00:00:00.0000,  5.709843641904958E+07, -2.054551874636072E+08, -5.706051763801470E+06,  2.425808097699077E+01,  8.567929493766366E+00, -4.157544712028494E-01,  7.115526897374350E+02,  2.133181298528970E+08, -1.747881203192987E+00,
2458297.500000000, A.D. 2018-Jun-28 00:00:00.0000,  5.919138274715091E+07, -2.047044389238933E+08, -5.741680918942153E+06,  2.418931399247786E+01,  8.810446546155372E+00, -4.089850991943296E-01,  7.110511107042183E+02,  2.131677602416477E+08, -1.732862003245708E+00,
2458298.500000000, A.D. 2018-Jun-29 00:00:00.0000,  6.127827436911689E+07, -2.039327535448084E+08, -5.776722769849330E+06,  2.411792531410924E+01,  9.052573321359439E+00, -4.021595486590637E-01,  7.105538902876119E+02,  2.130186973107855E+08, -1.717634178954629E+00,
2458299.500000000, A.D. 2018-Jun-30 00:00:00.0000,  6.335888467476025E+07, -2.031401664121355E+08, -5.811172489372134E+06,  2.404391278732176E+01,  9.294278122362888E+00, -3.952784376474408E-01,  7.100610884635325E+02,  2.128709590406378E+08, -1.702198728685589E+00,
2458300.500000000, A.D. 2018-Jul-01 00:00:00.0000,  6.543298688563369E+07, -2.023267153574273E+08, -5.845025303811014E+06,  2.396727469579290E+01,  9.535529103821307E+00, -3.883423965631536E-01,  7.095727649121307E+02,  2.127245633228638E+08, -1.686556715305783E+00,
2458301.500000000, A.D. 2018-Jul-02 00:00:00.0000,  6.750035409308666E+07, -2.014924409724260E+08, -5.878276494085401E+06,  2.388800976096529E+01,  9.776294259779531E+00, -3.813520661177283E-01,  7.090889790050038E+02,  2.125795279566205E+08, -1.670709250091433E+00,
2458302.500000000, A.D. 2018-Jul-03 00:00:00.0000,  6.956075929686438E+07, -2.006373866227791E+08, -5.910921396912873E+06,  2.380611714237669E+01,  1.001654141571566E+01, -3.743080957762839E-01,  7.086097897920248E+02,  2.124358706446144E+08, -1.654657480938706E+00,
2458303.500000000, A.D. 2018-Jul-04 00:00:00.0000,  7.161397544435193E+07, -1.997615984612042E+08, -5.942955406068563E+06,  2.372159644389551E+01,  1.025623823392147E+01, -3.672111441785240E-01,  7.081352559884756E+02,  2.122936089892442E+08, -1.638402591461289E+00,
2458304.500000000, A.D. 2018-Jul-05 00:00:00.0000,  7.365977547033332E+07, -1.988651254402213E+08, -5.974373973681152E+06,  2.363444773295112E+01,  1.049535222518078E+01, -3.600618855089905E-01,  7.076654359627940E+02,  2.121527604889276E+08, -1.621945801104171E+00,
2458305.500000000, A.D. 2018-Jul-06 00:00:00.0000,  7.569793233710839E+07, -1.979480193243056E+08, -6.005172611487761E+06,  2.354467156375266E+01,  1.073385076280070E+01, -3.528610181371872E-01,  7.072003877243408E+02,  2.120133425344331E+08, -1.605288364856764E+00,
2458306.500000000, A.D. 2018-Jul-07 00:00:00.0000,  7.772821907499261E+07, -1.970103347012040E+08, -6.035346892041966E+06,  2.345226898180649E+01,  1.097170109969109E+01, -3.456092642326842E-01,  7.067401689104560E+02,  2.118753724050008E+08, -1.588431581496591E+00,
2458307.500000000, A.D. 2018-Jul-08 00:00:00.0000,  7.975040882332188E+07, -1.960521289923977E+08, -6.064892449933618E+06,  2.335724150773816E+01,  1.120887038180946E+01, -3.383073590590335E-01,  7.062848367729715E+02,  2.117388672642979E+08, -1.571376806145689E+00,
2458308.500000000, A.D. 2018-Jul-09 00:00:00.0000,  8.176427487197165E+07, -1.950734624629503E+08, -6.093804983048633E+06,  2.325959112682425E+01,  1.144532565463411E+01, -3.309560429746807E-01,  7.058344481650305E+02,  2.116038441564681E+08, -1.554125454994844E+00,
2458309.500000000, A.D. 2018-Jul-10 00:00:00.0000,  8.376959070324290E+07, -1.940743982308723E+08, -6.122080253818989E+06,  2.315932029742374E+01,  1.168103386485634E+01, -3.235560630428944E-01,  7.053890595284907E+02,  2.114703200023546E+08, -1.536678998583657E+00,
2458310.500000000, A.D. 2018-Jul-11 00:00:00.0000,  8.576613003400420E+07, -1.930550022758424E+08, -6.149714090404496E+06,  2.305643196632937E+01,  1.191596185631294E+01, -3.161081789226809E-01,  7.049487268813092E+02,  2.113383115957184E+08, -1.519038946601776E+00,
2458311.500000000, A.D. 2018-Jul-12 00:00:00.0000,  8.775366685818897E+07, -1.920153434470773E+08, -6.176702387842193E+06,  2.295092957947162E+01,  1.215007636592900E+01, -3.086131670533323E-01,  7.045135058044381E+02,  2.112078355993097E+08, -1.501206834130087E+00,
2458312.500000000, A.D. 2018-Jul-13 00:00:00.0000,  8.973197548982890E+07, -1.909554934703623E+08, -6.203041109256908E+06,  2.284281709041052E+01,  1.238334403577685E+01, -3.010718229839329E-01,  7.040834514286065E+02,  2.110789085409056E+08, -1.483184223184459E+00,
2458313.500000000, A.D. 2018-Jul-14 00:00:00.0000,  9.170083060660525E+07, -1.898755269543951E+08, -6.228726287147164E+06,  2.273209896784499E+01,  1.261573144509120E+01, -2.934849617431903E-01,  7.036586184215361E+02,  2.109515468094764E+08, -1.464972722157397E+00,
2458314.500000000, A.D. 2018-Jul-15 00:00:00.0000,  9.366000729367721E+07, -1.887755213964621E+08, -6.253754024643436E+06,  2.261878019575009E+01,  1.284720513711004E+01, -2.858534144801883E-01,  7.032390609753730E+02,  2.108257666514189E+08, -1.446574002978511E+00,
2458315.500000000, A.D. 2018-Jul-16 00:00:00.0000,  9.560928108763622E+07, -1.876555571873045E+08, -6.278120496658176E+06,  2.250286626753229E+01,  1.307773161960946E+01, -2.781780238140668E-01,  7.028248327937144E+02,  2.107015841666666E+08, -1.427989797090635E+00,
2458316.500000000, A.D. 2018-Jul-17 00:00:00.0000,  9.754842802071515E+07, -1.865157176150601E+08, -6.301821950984053E+06,  2.238436318068866E+01,  1.330727735444552E+01, -2.704596405580082E-01,  7.024159870781289E+02,  2.105790153046485E+08, -1.409221881947970E+00,
2458317.500000000, A.D. 2018-Jul-18 00:00:00.0000,  9.947722466543613E+07, -1.853560888683798E+08, -6.324854709442817E+06,  2.226327743611323E+01,  1.353580875857967E+01, -2.626991221750039E-01,  7.020125765148196E+02,  2.104580758602909E+08, -1.390272076200558E+00,
2458318.500000000, A.D. 2018-Jul-19 00:00:00.0000,  1.013954481796540E+08, -1.841767600388897E+08, -6.347215169090897E+06,  2.213961604804509E+01,  1.376329221546011E+01, -2.548973356998010E-01,  7.016146532619692E+02,  2.103387814702234E+08, -1.371142238931511E+00,
2458319.500000000, A.D. 2018-Jul-20 00:00:00.0000,  1.033028763518049E+08, -1.829778231229802E+08, -6.368899803401485E+06,  2.201338656470257E+01,  1.398969408689671E+01, -2.470551661365388E-01,  7.012222689374637E+02,  2.102211476090992E+08, -1.351834263259905E+00,
2458320.500000000, A.D. 2018-Jul-21 00:00:00.0000,  1.051992876462999E+08, -1.817593730226836E+08, -6.389905163383543E+06,  2.188459708396813E+01,  1.421498072755242E+01, -2.391735228664542E-01,  7.008354746062364E+02,  2.101051895858001E+08, -1.332350073469728E+00,
2458321.500000000, A.D. 2018-Jul-22 00:00:00.0000,  1.070844612491782E+08, -1.805215075454776E+08, -6.410227878684670E+06,  2.175325624661712E+01,  1.443911850572747E+01, -2.312533347258174E-01,  7.004543207670170E+02,  2.099909225394645E+08, -1.312691638241213E+00,
2458322.500000000, A.D. 2018-Jul-23 00:00:00.0000,  1.089581771140853E+08, -1.792643274031588E+08, -6.429864658726573E+06,  2.161937321697481E+01,  1.466207382063898E+01, -2.232955385098023E-01,  7.000788573391161E+02,  2.098783614355249E+08, -1.292860987546339E+00,
2458323.500000000, A.D. 2018-Jul-24 00:00:00.0000,  1.108202160084514E+08, -1.779879362100159E+08, -6.448812293842979E+06,  2.148295767718479E+01,  1.488381310946997E+01, -2.153010744689512E-01,  6.997091336497762E+02,  2.097675210619169E+08, -1.272860214186239E+00,
2458324.500000000, A.D. 2018-Jul-25 00:00:00.0000,  1.126703595597114E+08, -1.766924404802835E+08, -6.467067656352460E+06,  2.134401983716540E+01,  1.510430284624450E+01, -2.072708903944038E-01,  6.993451984217860E+02,  2.096584160253650E+08, -1.252691460046357E+00,
2458325.500000000, A.D. 2018-Jul-26 00:00:00.0000,  1.145083903015675E+08, -1.753779496246532E+08, -6.484627701558158E+06,  2.120257044411618E+01,  1.532350953717825E+01, -1.992059464055158E-01,  6.989870997607583E+02,  2.095510607475690E+08, -1.232356899331165E+00,
